guid,tag
1431,neutral
2550,neutral
286,neutral
739,positive
3348,neutral
3948,neutral
3224,neutral
1096,positive
1584,positive
3660,positive
3898,positive
751,positive
3963,neutral
3891,positive
312,neutral
867,neutral
3268,positive
1697,neutral
1791,neutral
3701,neutral
2055,positive
3914,neutral
3572,positive
1660,positive
2943,neutral
424,positive
1285,positive
3039,neutral
1642,positive
1111,positive
1539,neutral
3401,neutral
2098,positive
3400,positive
4345,positive
1352,positive
4681,neutral
3005,positive
2362,positive
2154,positive
1512,positive
2677,positive
848,positive
1243,neutral
3637,positive
1990,positive
2627,neutral
948,positive
5039,positive
1587,neutral
55,neutral
4738,neutral
4205,neutral
3494,positive
2758,neutral
479,positive
1898,positive
3046,neutral
1088,positive
1039,positive
1875,positive
1100,positive
224,positive
2585,positive
2888,neutral
1309,neutral
4693,positive
3651,positive
383,positive
1057,positive
2607,positive
3306,positive
310,positive
2646,positive
1490,neutral
4860,positive
1606,positive
3554,positive
3580,positive
4947,positive
3889,positive
5,positive
2704,positive
3346,neutral
2480,neutral
3842,positive
4807,positive
3001,positive
4715,positive
4410,positive
1290,positive
4644,neutral
4294,neutral
4847,positive
2750,positive
1861,positive
4272,positive
617,positive
1574,positive
2332,positive
1974,positive
3399,positive
3714,neutral
5092,neutral
2709,positive
1435,positive
4449,positive
2939,neutral
1429,positive
145,positive
250,positive
4871,neutral
1868,positive
1508,positive
4811,neutral
3222,positive
566,neutral
558,neutral
38,positive
533,neutral
2527,neutral
2078,positive
3731,neutral
124,positive
4774,positive
967,positive
3016,positive
2911,positive
4613,positive
4201,neutral
4877,positive
4306,positive
3671,positive
4255,positive
1105,neutral
1806,positive
3061,positive
1830,positive
3417,positive
60,positive
1933,positive
3022,positive
2635,positive
2815,positive
1301,positive
575,positive
4925,neutral
4112,neutral
5127,positive
4795,positive
334,positive
3126,positive
912,positive
3969,positive
3451,neutral
3336,positive
923,positive
2737,positive
2443,positive
1312,positive
3505,neutral
2764,positive
4580,positive
3854,positive
2570,positive
2989,positive
2115,positive
3462,neutral
1699,positive
4898,positive
4138,positive
1866,positive
2915,positive
1635,positive
1908,neutral
4030,positive
4771,positive
3248,neutral
494,positive
3161,positive
20,positive
3300,positive
4242,positive
1476,positive
1879,positive
1384,positive
1616,positive
4376,neutral
3884,neutral
2026,neutral
4291,positive
4790,positive
657,neutral
2873,positive
812,positive
2893,positive
3296,positive
126,neutral
2469,positive
3206,positive
2019,positive
916,positive
4621,neutral
1620,positive
184,positive
5017,positive
1201,positive
5111,positive
4417,positive
4431,positive
4434,positive
4920,positive
272,neutral
279,positive
3020,positive
2325,positive
2858,positive
4288,positive
1596,positive
803,positive
4363,positive
1895,positive
3044,positive
4721,positive
698,positive
1426,positive
2016,positive
3745,positive
4903,neutral
534,neutral
3650,positive
3371,positive
112,neutral
176,positive
573,positive
4919,neutral
3276,positive
480,positive
87,positive
911,positive
3705,positive
3082,neutral
2537,positive
4450,positive
1497,positive
3083,positive
443,positive
2957,neutral
2099,neutral
2962,neutral
460,positive
1918,neutral
3052,neutral
13,positive
863,neutral
1252,positive
3570,positive
4684,neutral
2046,positive
1537,positive
2555,positive
1052,positive
1713,positive
2597,positive
282,positive
3833,positive
4885,positive
4587,positive
1401,positive
1281,positive
2085,positive
565,neutral
1205,positive
1560,positive
4064,positive
1036,positive
2606,positive
4777,neutral
588,positive
609,positive
3279,neutral
3511,positive
4796,positive
2107,positive
1106,positive
3395,neutral
2546,positive
4678,positive
1000,positive
1048,positive
1059,positive
1485,positive
3195,neutral
2029,neutral
